neighborhood,beds,baths,sqft,lotsize,year,type,levels,cooling,heating,fireplace,soldprice,elementary,elementary_size,elementary_rating,middle,middle_size,middle_rating,high,high_size,high_rating,pct_built
Red,6,4.0,4233.0,0.88,1926,single-family home,1,No,No,No,1289000,Cougar Elementary,800,5,Wolf Middle,700,2,Alpine High,1250,4,11.042762334084648
Red,1,1.0,748.0,0.11,1985,condo,1,No,No,No,499000,Bobcat Elementary,600,1,Wolf Middle,700,2,Alpine High,1250,4,15.610651974288336
Red,3,2.0,2001.0,0.23,1945,condo,1,No,No,Yes,573000,Cougar Elementary,800,5,Wolf Middle,700,2,Crevasse High,750,1,19.97245179063361
Red,6,3.5,4454.0,0.43,1938,single-family home,2,No,No,Yes,1246000,Lynx Elementary,600,3,Coyote Middle,900,4,Crevasse High,750,1,23.779016379439213
Red,4,3.0,2004.0,0.35,1959,single-family home,1,No,No,No,1250000,Cheetah Elementary,850,4,Wolf Middle,700,2,Alpine High,1250,4,13.144431326249508
Red,4,2.5,1808.0,0.19,1914,single-family home,2,No,No,Yes,1229000,Lynx Elementary,600,3,Coyote Middle,900,4,Crevasse High,750,1,21.8452467256295
Red,3,2.0,1898.0,0.36,1923,townhouse,1,No,No,Yes,581000,Cheetah Elementary,850,4,Wolf Middle,700,2,Crevasse High,750,1,12.103356800326498
Red,3,1.0,1995.0,0.19,1909,single-family home,2,No,No,Yes,1048000,Lynx Elementary,600,3,Coyote Middle,900,4,Crevasse High,750,1,24.104683195592287
Red,6,3.5,3245.0,0.41,1984,townhouse,1,Yes,Yes,No,1035000,Lynx Elementary,600,3,Coyote Middle,900,4,Alpine High,1250,4,18.169499876816953
Red,3,1.5,1925.0,0.28,1944,single-family home,1,No,No,No,1080000,Lynx Elementary,600,3,Coyote Middle,900,4,Crevasse High,750,1,15.782828282828282
Red,2,1.0,1287.0,0.17,1936,townhouse,1,No,No,Yes,485000,Bobcat Elementary,600,1,Coyote Middle,900,4,Crevasse High,750,1,17.379679144385022
Red,4,2.5,2609.0,0.46,1961,townhouse,1,No,No,No,794000,Cheetah Elementary,850,4,Wolf Middle,700,2,Alpine High,1250,4,13.020521419730905
Red,6,3.0,4764.0,0.91,1925,single-family home,1,No,No,Yes,1266000,Bobcat Elementary,600,1,Coyote Middle,900,4,Crevasse High,750,1,12.018284745557473
Red,3,2.0,1400.0,0.15,1937,condo,2,No,No,Yes,560000,Lynx Elementary,600,3,Wolf Middle,700,2,Crevasse High,750,1,21.4263850627487
Red,4,1.5,2031.0,0.13,1911,townhouse,2,No,No,Yes,664000,Bobcat Elementary,600,1,Coyote Middle,900,4,Crevasse High,750,1,35.865649502013135
Red,3,2.0,1771.0,0.17,1908,condo,2,No,No,Yes,538000,Cheetah Elementary,850,4,Coyote Middle,900,4,Alpine High,1250,4,23.915626856803325
Red,3,1.5,1725.0,0.3,1914,townhouse,1,No,No,Yes,569000,Cougar Elementary,800,5,Coyote Middle,900,4,Alpine High,1250,4,13.20018365472911
Red,4,1.5,1845.0,0.11,1981,townhouse,2,Yes,No,No,732000,Cougar Elementary,800,5,Coyote Middle,900,4,Crevasse High,750,1,38.50488354620586
Red,5,2.0,2238.0,0.14,1955,single-family home,2,No,No,No,1202000,Lynx Elementary,600,3,Coyote Middle,900,4,Alpine High,1250,4,36.69815033451397
Red,2,1.0,1064.0,0.24,1974,single-family home,1,No,No,Yes,1181000,Cheetah Elementary,850,4,Coyote Middle,900,4,Crevasse High,750,1,10.177532904805632
Red,3,1.5,1280.0,0.24,1945,single-family home,1,No,No,Yes,1224000,Cougar Elementary,800,5,Wolf Middle,700,2,Alpine High,1250,4,12.243648607284971
Red,1,1.0,536.0,0.12,1977,townhouse,1,Yes,No,No,573000,Cheetah Elementary,850,4,Coyote Middle,900,4,Crevasse High,750,1,10.254055708601163
Red,3,2.0,1669.0,0.11,1963,single-family home,2,No,No,Yes,1315000,Lynx Elementary,600,3,Wolf Middle,700,2,Alpine High,1250,4,34.83178896402037
Red,1,1.0,781.0,0.1,1975,single-family home,1,Yes,No,No,1112000,Cheetah Elementary,850,4,Coyote Middle,900,4,Alpine High,1250,4,17.929292929292927
Red,1,1.0,779.0,0.14,1940,townhouse,1,No,No,No,458000,Cougar Elementary,800,5,Wolf Middle,700,2,Crevasse High,750,1,12.773842319296863
Red,4,3.0,3060.0,0.5,1940,single-family home,1,No,No,Yes,1407000,Cougar Elementary,800,5,Wolf Middle,700,2,Alpine High,1250,4,14.049586776859504
Red,3,1.0,1616.0,0.21,1942,condo,2,No,No,Yes,560000,Bobcat Elementary,600,1,Coyote Middle,900,4,Crevasse High,750,1,17.66583584765403
Red,6,3.0,3151.0,0.2,1980,single-family home,2,Yes,No,Yes,1618000,Bobcat Elementary,600,1,Wolf Middle,700,2,Alpine High,1250,4,36.168503213957756
Red,5,4.0,3376.0,0.48,1977,single-family home,2,No,No,No,1284000,Bobcat Elementary,600,1,Wolf Middle,700,2,Crevasse High,750,1,16.146311600857054
Red,3,1.0,1662.0,0.2,1932,condo,1,No,No,Yes,595000,Cheetah Elementary,850,4,Coyote Middle,900,4,Alpine High,1250,4,19.077134986225897
Red,4,2.0,2636.0,0.34,1935,single-family home,1,No,No,Yes,1332000,Cougar Elementary,800,5,Wolf Middle,700,2,Crevasse High,750,1,17.798303894560576
Red,5,4.0,3546.0,0.9,1980,condo,1,No,No,No,912000,Bobcat Elementary,600,1,Coyote Middle,900,4,Alpine High,1250,4,9.044995408631772
Red,4,3.0,2206.0,0.9803152899590207,1980,single-family home,2,No,No,No,1223000,Lynx Elementary,600,3,Coyote Middle,900,4,Alpine High,1250,4,
Red,4,1.0,2603.0,0.75,1982,single-family home,1,No,Yes,Yes,1339000,Cougar Elementary,800,5,Coyote Middle,900,4,Crevasse High,750,1,7.967554331190694
Red,3,2.0,1295.0,0.12,1980,single-family home,2,No,No,No,1317000,Cheetah Elementary,850,4,Wolf Middle,700,2,Alpine High,1250,4,24.774257728803185
Red,1,1.0,,0.15,1943,condo,1,No,No,No,321000,Lynx Elementary,600,3,Wolf Middle,700,2,Crevasse High,750,1,
Red,2,1.0,1326.0,0.18,1948,condo,1,No,No,Yes,577000,Lynx Elementary,600,3,Wolf Middle,700,2,Alpine High,1250,4,16.911539638812368
Red,4,3.0,2850.0,0.16,1962,single-family home,2,No,No,No,1166000,Lynx Elementary,600,3,Wolf Middle,700,2,Alpine High,1250,4,40.891873278236915
Red,3,1.0,1415.0,0.09,1954,single-family home,2,No,No,No,1161000,Cheetah Elementary,850,4,Wolf Middle,700,2,Alpine High,1250,4,36.09325579022549
Red,4,2.0,2413.0,0.17,1950,single-family home,2,No,No,Yes,1442000,Cougar Elementary,800,5,Coyote Middle,900,4,Crevasse High,750,1,32.58521039269702
Red,3,1.0,2019.0,0.39,1952,condo,1,No,No,Yes,560000,Cheetah Elementary,850,4,Wolf Middle,700,2,Alpine High,1250,4,11.884580066398247
Red,3,1.5,2145.0,0.22,1930,condo,2,No,No,Yes,617000,Cheetah Elementary,850,4,Coyote Middle,900,4,Crevasse High,750,1,22.382920110192835
Red,1,1.0,654.0,0.19,1936,townhouse,1,No,No,Yes,512000,Bobcat Elementary,600,1,Wolf Middle,700,2,Alpine High,1250,4,7.901986370885893
Red,5,4.0,2557.0,0.42,1936,single-family home,1,No,No,No,1220000,Bobcat Elementary,600,1,Wolf Middle,700,2,Alpine High,1250,4,13.976343521798068
Red,1,1.0,749.0,0.14,1946,single-family home,?,No,No,No,1009000,Lynx Elementary,600,3,Wolf Middle,700,2,Alpine High,1250,4,12.281910009182734
Red,2,1.0,1132.0,0.22,1966,condo,1,No,No,No,539000,Cheetah Elementary,850,4,Wolf Middle,700,2,Crevasse High,750,1,11.81233825861925
Red,5,3.0,2865.0,0.25,1966,single-family home,2,No,No,No,1280000,Lynx Elementary,600,3,Wolf Middle,700,2,Crevasse High,750,1,26.30853994490358
Red,2,1.0,1237.0,0.2,1976,townhouse,1,No,No,No,641000,Bobcat Elementary,600,1,Wolf Middle,700,2,Alpine High,1250,4,14.198806244260789
Red,6,4.0,3829.0,0.27,1979,condo,2,Yes,No,No,787000,Lynx Elementary,600,3,Wolf Middle,700,2,Crevasse High,750,1,32.55620174812094
Red,3,1.5,1921.0,0.12,1963,single-family home,2,No,No,Yes,1100000,Cheetah Elementary,850,4,Coyote Middle,900,4,Crevasse High,750,1,36.750076522803795
Red,2,1.0,1237.0,0.17,1933,single-family home,1,No,No,Yes,878000,Bobcat Elementary,600,1,Wolf Middle,700,2,Crevasse High,750,1,16.704477934424457
Red,6,4.5,4757.0,0.55,1966,single-family home,1,No,No,No,1478000,Bobcat Elementary,600,1,Coyote Middle,900,4,Alpine High,1250,4,19.85558059938225
Red,1,1.0,717.0,0.16,1939,townhouse,1,No,No,No,446000,Cheetah Elementary,850,4,Wolf Middle,700,2,Crevasse High,750,1,10.287534435261707
Red,3,1.5,1422.0,0.18,1963,single-family home,1,No,No,Yes,1240000,Cougar Elementary,800,5,Coyote Middle,900,4,Crevasse High,750,1,18.135904499540864
Red,3,1.0,2010.0,0.31,1953,townhouse,1,No,No,No,597000,Bobcat Elementary,600,1,Wolf Middle,700,2,Crevasse High,750,1,14.884919577001687
Red,2,1.0,1055.0,0.3,1940,single-family home,1,No,No,Yes,923000,Bobcat Elementary,600,1,Coyote Middle,900,4,Crevasse High,750,1,8.073155800428527
Red,2,1.0,1260.0,0.22,1932,single-family home,1,No,No,No,937000,Cheetah Elementary,850,4,Coyote Middle,900,4,Alpine High,1250,4,13.148009015777609
Red,5,3.0,2430.0,0.51,1939,townhouse,1,No,No,Yes,708000,Cheetah Elementary,850,4,Coyote Middle,900,4,Crevasse High,750,1,10.938259601361205
Red,3,1.0,1696.0,0.43,1962,single-family home,1,No,No,No,1095000,Cougar Elementary,800,5,Wolf Middle,700,2,Crevasse High,750,1,9.05460524910842
Red,2,1.0,896.0,0.15,1973,single-family home,1,Yes,No,Yes,1243000,Cheetah Elementary,850,4,Coyote Middle,900,4,Alpine High,1250,4,13.712886440159167
Red,4,1.0,2848.0,1.2656110361755626,1957,single-family home,2,No,No,No,1212000,Cheetah Elementary,850,4,Wolf Middle,700,2,Alpine High,1250,4,
Red,3,1.5,1974.0,0.19,1983,townhouse,2,No,No,Yes,818000,Lynx Elementary,600,3,Wolf Middle,700,2,Alpine High,1250,4,23.850949688270266
Red,5,3.0,3549.0,0.25,1948,single-family home,2,No,No,No,1223000,Bobcat Elementary,600,1,Wolf Middle,700,2,Alpine High,1250,4,32.58953168044077
Red,4,1.0,1946.0,0.25,1939,condo,1,No,No,Yes,673000,Bobcat Elementary,600,1,Wolf Middle,700,2,Alpine High,1250,4,17.869605142332414
Red,1,1.0,648.0,0.19,1974,townhouse,1,Yes,No,No,457000,Bobcat Elementary,600,1,Wolf Middle,700,2,Crevasse High,750,1,7.8294910830796
Red,4,3.0,2493.0,0.34,1963,single-family home,1,No,No,No,1367000,Bobcat Elementary,600,1,Wolf Middle,700,2,Alpine High,1250,4,16.832766164316965
Red,3,1.5,1887.0,0.48,1985,townhouse,1,Yes,No,No,836000,Bobcat Elementary,600,1,Wolf Middle,700,2,Alpine High,1250,4,9.024908172635445
Red,3,2.0,1955.0,0.32,1937,single-family home,1,No,No,No,1049000,Bobcat Elementary,600,1,Wolf Middle,700,2,Crevasse High,750,1,14.025195133149678
Red,4,3.0,1998.0,0.29,1979,townhouse,1,Yes,No,Yes,763000,Cougar Elementary,800,5,Wolf Middle,700,2,Crevasse High,750,1,15.816471929324594
Red,3,1.0,1766.0,0.37,1932,condo,1,No,No,Yes,598000,Cougar Elementary,800,5,Coyote Middle,900,4,Crevasse High,750,1,10.957238229965503
Red,6,5.0,3362.0,0.35,1949,single-family home,2,No,No,No,1612000,Cougar Elementary,800,5,Coyote Middle,900,4,Alpine High,1250,4,22.05168568804933
